aardvark-dns 1.17.1-1
abseil-cpp 20260107.1-1
accountsservice 26.13.3-1
acl 2.3.2-2
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.6-1
alsa-lib 1.2.16-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16-2
alsa-utils 1.2.16-1
android-tools 35.0.2-26
android-udev 20260423-1
aom 3.14.1-1
apparmor 4.1.7-1
appstream 1.1.2-1
appstream-qt 1.1.2-1
aquamarine 0.12.0-1
archlinux-keyring 20260420-1
argon2 20190702-6
at-spi2-core 2.60.4-1
atkmm 2.28.5-2
attica 6.26.0-1
attr 2.5.2-2
audit 4.1.4-2
aurorae 6.6.5-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
awww 0.12.1-1
baloo 6.26.0-1
baloo-widgets 26.04.2-1
base 3-3
base-devel 1-2
bash 5.3.12-1
bash-completion 2.17.0-3
bcprov 1.84-1
binutils 2.46+r70+g155188ea10a7-1
bison 3.8.2-8
blueman 2.4.6-2
bluez 5.86-6
bluez-libs 5.86-6
bluez-utils 5.86-6
boost-libs 1.91.0-1
breeze 6.6.5-1
breeze-cursors 6.6.5-1
breeze-gtk 6.6.5-1
breeze-icons 6.26.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.124-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.6-1
capstone 5.0.9-1
catatonit 0.2.1-2
cifs-utils 7.5-1
clang 22.1.6-1
cmake 4.3.3-1
compiler-rt 22.1.6-1
compiler-rt20 20.1.8-1
compiler-rt21 21.1.8-1
composefs 1.0.8-1
composer 2.10.1-1
conmon 1:2.2.1-1
containerd 2.3.1-1
containers-common 1:0.67.1-1
convertlit 1.8-13
coreutils 9.11-1
cpio 2.15-3
cppdap 1.58.0-3
cryptsetup 2.8.6-1
curl 8.20.0-7
dav1d 1.5.3-1
